    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_28,Site_72,Site_72, Site_A, Site_H, Site_K, Site_R,Site_V
20150101,0:00,                     ST,0,0.01,0.04,0,0.09,LST,                    LST,                     ST,0.04,0.11,                     ST,0.15
20150101,1:00,                     BL,0.02,0.02,0.04,0,0.1,                    LST,                    LST,                     BL,0.05,                     ST,                     BL,0.07
20150101,2:00,0.14,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,                    LST,0.02,                     ST,                     BL,0.24,                     ST
20150101,3:00,0.15,                     BL,                     BL,                     BL,                     BL,                     BL,                    LST,                    LST,0,                     BL,0.03,0.07,                     BL
20150101,4:00,                    AQI,0,0.01,0.04,0,0.03,                    LST,                    LST,0,0.01,0.06,0.02,0.47
20150101,5:00,                    AQI,0,0.02,0.06,0,0.03,                    LST,                    LST,0.06,0.02,0.16,0.01,0.19
20150101,6:00,                    AQI,0.05,0.03,0.05,0,0.06,                    LST,                    LST,0.06,0.02,0.04,0.01,0.05
20150101,7:00,                    AQI,0.07,0.06,0.05,0,0.08,                    LST,                    LST,0.04,0.03,0.03,0.19,0.08
20150101,8:00,                    AQI,0.04,0.01,0.05,0,0.08,                    LST,                    LST,0,0.07,0.02,1.15,0.11
20150101,9:00,                    AQI,0,0.02,0.05,0,0.08,                    LST,                    LST,0.01,0.02,0.02,0.98,0.27
20150101,10:00,                    AQI,0,0.02,0.04,0,0.05,                    LST,                    LST,0.09,0.02,0.28,0.01,0.42
20150101,11:00,                    AQI,0,0.02,0.04,0,0.08,                    LST,                    LST,0.09,0.03,0.05,0.01,0.04
20150101,12:00,                    AQI,0,0.02,0.05,0,0.02,                    LST,                    LST,0.17,0.03,0.07,0.01,0.07
20150101,13:00,                    AQI,0,0.01,0.06,0,0,                    LST,                    LST,0.03,0.04,0.28,0.03,0.06
20150101,14:00,                    AQI,0,0.01,0.05,0,0,                    LST,                    LST,0.18,0.05,0.3,0.02,0.13
20150101,15:00,                    AQI,0,0.01,0.04,0.05,0.01,                    LST,                    LST,0.12,0.05,0.25,0,0.06
20150101,16:00,                    AQI,0,0,0.04,0.04,0.02,                    LST,                    LST,0.01,0.06,0.16,0.43,0.3
20150101,17:00,                    AQI,0,0.01,0.04,0,0.12,                    LST,                    LST,0.01,0.03,0.04,0.05,0.65
20150101,18:00,                    AQI,0,0,0.04,0,0.12,                    LST,                    LST,0.02,0.03,0.03,0.07,0.72
20150101,19:00,                    AQI,0,0.01,0.03,0,0.06,                    LST,                    LST,0.02,0.02,0.08,0.02,0.97
20150101,20:00,                    AQI,0,0.02,0.04,0,0.06,                    LST,                    LST,0.21,0.05,0.45,0.03,0.1
20150101,21:00,                    AQI,0,0.02,0.06,0,0.1,                    LST,                    LST,0.12,0.09,0.49,0.04,0.08
20150101,22:00,                    AQI,0,0.02,0.07,0,0.11,                    LST,                    LST,0.02,0.07,0.12,0.72,0.28
20150101,23:00,                    AQI,0.02,0.02,0.07,0,0.1,                    LST,                    LST,0,0.06,0.02,0.72,0.19
20150102,0:00,                    AQI,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,                    LST,0,                     ST,0.07,0.93,                     ST
20150102,1:00,                    AQI,                     BL,                     BL,                     BL,                     BL,                     BL,                    LST,                    LST,0,                     BL,0,1.67,                     BL
20150102,2:00,                     ST,0.03,0.02,0.05,0.15,0.04,                    LST,                    LST,                     ST,0.17,0,                     ST,0.03
20150102,3:00,                     BL,0,0.01,0.05,0.12,0.02,                    LST,                    LST,                     BL,0.12,0,                     BL,0.42
20150102,4:00,                    AQI,0.03,0.02,0.08,0.13,0.02,                    LST,                    LST,0,0.07,0.02,0.44,0.09
20150102,5:00,                    AQI,0.03,0.02,0.07,0.06,0,                    LST,                    LST,0,0.06,0.02,1.41,0.04
20150102,6:00,                    AQI,0.01,0.02,0.03,0.04,0,                    LST,                    LST,0.01,0.07,0.04,0.65,0.06
20150102,7:00,                    AQI,0.02,0.02,0.03,0.12,0,                    LST,                    LST,0.02,0.09,0.06,1.64,0.15
20150102,8:00,                    AQI,0.02,0.02,0.03,0.19,0.03,                    LST,                    LST,0.03,0.05,0.08,0.04,0.41
20150102,9:00,                    AQI,0.04,0.02,0.03,0.07,0.06,                    LST,                    LST,0.2,0.03,0.75,0.04,0.6
20150102,10:00,                    AQI,0.07,0.05,0.03,0.05,0.11,                    LST,                    LST,0.35,0.08,0.4,0.04,0.13
