Date,Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_28,Site_29,Site_72,Site_A,Site_H,Site_K,Site_R,Site_V
20160101,0:00,0.03,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,0.06,                     ST,                     ST,0,                     ST,0.09
20160101,1:00,0.03,                     BL,                     BL,                     BL,                     BL,                     BL,                    LST,                     ST,                     BL,                     BL,                     ST,                     BL,                     ST
20160101,2:00,                     ST,0.02,0.02,0.02,0.06,0.02,                    LST,                     BL,0,0.07,                     BL,2.27,                     BL
20160101,3:00,                     BL,0.02,0.02,0.03,0.07,0.02,                    LST,0.04,0,0.05,0.04,1.09,0.12
20160101,4:00,0.02,0.02,0.02,0.04,0.04,0.02,                    LST,0.04,0.03,0.05,0,0.9,0.14
20160101,5:00,0.02,0.02,0.02,0.04,0.09,0,                    LST,0.04,0,0.06,0,4.66,0.08
20160101,6:00,0,0.02,0.02,0.05,0.21,0,                    LST,0.04,0,0.05,0,3.63,0.03
20160101,7:00,0.03,0.02,0.02,0.04,0.17,0.02,                    LST,0.04,0,0.05,0,3.14,0.03
20160101,8:00,0.01,0.02,0.02,0.04,0.06,0.02,                    LST,0.04,0,0.04,0,2.59,0.05
20160101,9:00,0.01,0.01,0.02,0.03,0.07,0,                    LST,0.05,0,0.04,0,3.45,0.08
20160101,10:00,0.01,0.02,0.01,0.04,0.05,0.03,                    LST,0.05,0,0.04,0,0.24,0.02
20160101,11:00,0.01,0.02,0,0.04,0.1,0,                    LST,0.05,0,0.03,0,1.78,0.02
20160101,12:00,0.02,0.01,0.01,0.05,0.13,0,                    LST,0.04,0,0.04,0,0.81,0.1
20160101,13:00,0.04,0.01,0,0.04,0.05,0,                    LST,0.05,0,0.04,0,1.87,0.1
20160101,14:00,0.04,0.01,0,0.05,0,0,                    LST,0.05,0,0.03,0,2.46,0.09
20160101,15:00,0.02,0.01,0,0.04,0.03,0,                    LST,0.05,0,0.03,0,1.19,0.08
20160101,16:00,0.03,0.01,0.01,0.03,0.03,0,                    LST,0.09,0,0.07,0,0.93,0.14
20160101,17:00,0.05,0.02,0.02,0.04,0,0.01,                    LST,0.05,0,0.19,0.04,0.71,0.23
20160101,18:00,0.04,0.02,0.02,0.04,0.05,0,                    LST,0.06,0,0.55,0.04,0.64,0.17
20160101,19:00,0.04,0.02,0.03,0.03,0.03,0,                    LST,0.05,0.04,0.3,0,3.9,0.28
20160101,20:00,0.05,0.02,0.03,0.02,0,0.02,                    LST,0.06,0,0.29,0.04,1.45,0.24
20160101,21:00,0.02,0.02,0.02,0.04,0.03,0.02,                    LST,0.05,0,0.06,0.04,1.86,0.22
20160101,22:00,0.02,0.02,0.02,0.04,0.03,0.02,                    LST,0.06,0,0.06,0.04,3.57,0.57
20160101,23:00,0.03,0.02,0.02,0.04,0,0.02,                    LST,0.06,0,0.28,0.05,0.18,0.48
20160102,0:00,                     ST,0.02,0.02,0.04,0,0.02,                    LST,0.06,0,0.34,0,2.99,0.23
20160102,1:00,                     BL,0.02,0.02,0.07,0,0.03,                    LST,                     ST,0.04,0.07,0.03,7,0.26
20160102,2:00,0,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,                     BL,                     ST,                     ST,                     ST,                     ST,                     ST
20160102,3:00,0.01,                     BL,                     BL,                     BL,                     BL,                     BL,                    LST,0.05,                     BL,                     BL,                     BL,                     BL,                     BL
20160102,4:00,0.01,0.02,0.02,0.04,0,0.02,                    LST,0.05,0,0.09,0.03,7.84,0.19
20160102,5:00,0.02,0.03,0.02,0.04,0,0.02,                    LST,0.05,0,0.06,0,2.37,0.07
20160102,6:00,0,0.03,0.02,0.04,0,0.02,                    LST,0.05,0,0.1,0.04,0.7,0.06
20160102,7:00,0.01,0.02,0.02,0.01,0.1,0.02,                    LST,0.06,0,0.3,0,1.54,0.17
20160102,8:00,0.02,0.03,0,0.04,0.15,0.02,                    LST,0.06,0.02,0.07,0,2.79,0.22
20160102,9:00,0.07,0.02,0.02,0.04,0.12,0,                    LST,0.06,0,0.07,0,0.81,0.22
20160102,10:00,0.53,0.03,0,0.05,0.08,0,                    LST,0.16,0.05,0.05,0.57,1.58,0.67
20160102,11:00,0.07,0.02,0.02,0.03,0.14,0.02,                    LST,0.04,0,0.07,0.08,1.7,0.47
20160102,12:00,0.22,0.03,0.01,0.01,0.24,0,                    LST,0.06,0,0.05,0.16,2.25,0.76
20160102,13:00,0.17,0.03,0.02,0.04,0.1,0.02,                    LST,0.09,0,0.05,0.51,1.33,0.56
20160102,14:00,0.07,0.03,0.02,0.04,0,0.05,                    LST,0.06,0,0.17,0.09,0.85,0.71
20160102,15:00,0.05,0.02,0.01,0.01,0,0.04,                    LST,0.05,0,0.14,0.05,0.79,0.57
20160102,16:00,0.04,0.02,0.02,0.04,0.08,0,                    LST,0.05,0,0.06,0.05,0.37,0.76
20160102,17:00,0.08,0.03,0.02,0.04,0.04,0.02,                    LST,0.04,0.07,0.33,0.07,0.16,0.32
20160102,18:00,0.1,0.02,0.03,0.01,0.06,0.04,                    LST,0.07,0.08,0.07,0.07,0.04,0.21
20160102,19:00,0.12,0.04,0.03,0.03,0.1,0,                    LST,0.08,0.09,0.1,0.07,0.29,0.16
20160102,20:00,0.11,0.04,0.03,0.06,0.13,0.02,                    LST,0.08,0.06,0.3,0.06,1.23,0.38
20160102,21:00,                     CS,                     CS,                     CS,                     CS,                     CS,                     CS,                    LST,                     CS,                     CS,                     CS,                     CS,                     CS,                     CS
20160102,22:00,                     IQ,                     IQ,                     IQ,                     IQ,                     IQ,                     IQ,                    LST,                     IQ,                     IQ,                     IQ,                     IQ,                     IQ,                     IQ
20160102,23:00,0.07,0.04,0.05,0.04,0.05,0.03,                    LST,0.08,0.08,0.23,0.08,0.05,0.1
20160103,0:00,0.08,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,0.08,                     ST,                     ST,0.09,                     ST,                    LST
20160103,1:00,0.07,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,0.08,                     ST,                     ST,0.06,                     ST,                    LST
20160103,2:00,                     ST,                     BL,                     BL,                     BL,                     BL,                     BL,                    LST,0.07,                     BL,                     BL,0.05,                     BL,                    LST
20160103,3:00,                     ST,0.04,0.04,0.13,0,0,                    LST,0.06,0.05,0.06,0.04,0.04,                    LST
20160103,4:00,                     BL,0.04,0.05,0.1,0,0,                    LST,0.07,0.04,0.07,0.03,0.04,                    LST
20160103,5:00,0.03,0.03,0.04,0.12,0,0,                    LST,0.07,0,0.05,0,0.03,                    LST
20160103,6:00,0.02,0.03,0.03,0.07,0,0,                    LST,0.08,0,0.04,0,0.03,                    LST
20160103,7:00,0.03,0.02,0.03,0.03,0,0,                    LST,0.06,0,0.03,0,0.02,                    LST
20160103,8:00,0.02,0.02,0.02,0.01,0,0,                    LST,0.07,0,0.03,0,0.02,                    LST
20160103,9:00,0.03,0.02,0.02,0.05,0,0,                    LST,0.07,0.04,0.07,0,0.02,                    LST
20160103,10:00,0.02,0.02,0,0.06,0,0,                    LST,0.07,0,0.05,0,0.02,                    LST
20160103,11:00,0.01,0.07,0,0.04,0,0,                    LST,0.06,0,0.05,0,0.03,                    LST
20160103,12:00,0.01,0.11,0.01,0.03,0,0,                    LST,0.06,0,0.02,0,0.02,                    LST
20160103,13:00,0,0.02,0.01,0.03,0,0,                    LST,0.07,0,0.02,0,0.02,                    LST
20160103,14:00,0,0.02,0,0.05,0,0,                    LST,0.05,0,0.02,0,0.01,                    LST
20160103,15:00,0,0.02,0,0.05,0,0,                    LST,0.06,0,0.02,0,0.01,                    LST
20160103,16:00,0,0.43,0.02,0.04,0,0,                    LST,0.05,0,0.02,0,0.01,                    LST
20160103,17:00,0.05,0.96,0.02,0.09,0,0.03,                    LST,0.07,0.05,0.04,0.05,0.01,                    LST
20160103,18:00,0.21,0.35,0.04,0.19,0,0,                    LST,0.22,0.2,0.07,0.13,0.03,                    LST
20160103,19:00,0.23,0.1,0.11,0.23,0,0,                    LST,0.34,0.27,0.09,0.21,0.04,                    LST
20160103,20:00,0.17,0.09,0.12,0.13,0,0.02,                    LST,0.43,0.57,0.08,                     ST,0.06,                    LST
20160103,21:00,0.17,0.11,0.11,0.16,0,0.02,                    LST,                     ST,0.42,0.08,                     ST,0.06,                    LST
20160103,22:00,0.16,0.2,0.12,0.23,0,0,                    LST,                     ST,0.4,0.09,                     BL,0.07,                    LST
20160103,23:00,0.19,0.05,0.12,0.21,0,0.03,                    LST,                     BL,0.3,0.08,0.21,0.07,                    LST
20160104,0:00,                     ST,0.34,0.09,0.17,0,0.02,                    LST,0.19,0.15,0.08,0.14,0.06,                    LST
20160104,1:00,                     BL,0.29,0.07,0.09,0,0.02,                    LST,0.21,0.19,0.05,0.12,0.05,                    LST
20160104,2:00,0.07,                     ST,                     ST,                     ST,                     ST,                     ST,                    LST,0.22,                     ST,                     ST,0.11,                     ST,                    LST
20160104,3:00,0.03,                     BL,                     BL,                     BL,                     BL,                     BL,                    LST,0.17,                     BL,                     BL,0.07,                     BL,                    LST
20160104,4:00,0.04,0.02,0.06,0.04,0,0.02,                    LST,0.24,0.1,0.99,0.07,0.16,                    LST
20160104,5:00,0.08,0.03,0.11,0.04,0,0.03,                    LST,0.34,0.18,0.83,0.13,0.04,                    LST
20160104,6:00,0.12,0.03,0.05,0.07,0,0.03,                    LST,0.3,0.24,0.41,0.16,0.04,                    LST
20160104,7:00,0.12,0.03,0.05,0.21,0,0.02,                    LST,0.18,0.28,0.25,0.16,0.05,                    AQI
20160104,8:00,0.09,0.02,0.04,0.05,                    LST,0.03,                    LST,0.11,0.11,0.52,0.11,0.06,                    AQI
20160104,9:00,0.05,0.03,0.02,0.05,                    LST,0.03,                    LST,0.09,0.07,1.49,0.08,0.62,                    AQI
20160104,10:00,0.49,0.08,0.03,0.04,                    LST,0.03,                    LST,0.34,0.16,0.11,0.17,1,                    AQI
20160104,11:00,0.23,0.04,0.02,0.04,                    LST,0,                    LST,0.49,0.32,0.04,0.24,0.03,                    AQI
20160104,12:00,0.87,0.02,0,0.04,                    LST,0,                    LST,0.19,0.2,0.04,0.11,0.52,                    AQI
20160104,13:00,0.34,0.02,0,0.04,                    LST,0.02,                    LST,0.17,0.1,0.02,0.21,0.19,                    AQI
20160104,14:00,0.38,0.01,0,0.04,                    LST,0,                    LST,0.08,0,0.02,0.06,0.07,                    AQI
20160104,15:00,0.05,0.01,0,0.04,                    LST,0.01,                    LST,0.05,0,0.03,0.04,0.18,                    AQI
20160104,16:00,0,0.02,0,0.01,                    LST,0,                    LST,0.04,0,0.03,0.04,0.53,                    AQI
20160104,17:00,0.08,0.02,0.01,0.05,                    LST,0.02,                    LST,0.05,0.05,0.07,0.06,0.08,                    AQI
20160104,18:00,0.08,0.05,0.03,0.05,                    LST,0.03,                    LST,0.12,0.25,0.09,0.08,0.08,                    AQI
20160104,19:00,0.09,0.07,0.04,0.13,                    LST,0.01,                    LST,0.27,0.29,0.14,0.08,0.16,                    AQI
20160104,20:00,0.12,0.03,0.02,0.12,                    LST,0.01,                    LST,0.2,0.52,0.29,0.1,0.06,                    AQI
20160104,21:00,0.68,0.03,0.02,0.09,                    LST,0,                    LST,                     ST,0.27,0.09,                     ST,0.04,                    AQI
20160104,22:00,0.03,0.03,0.03,0.07,                    LST,0.02,                    LST,                     BL,0.53,0.06,                     BL,0.03,                    AQI
20160104,23:00,0.02,0.03,0.04,0.06,                    LST,0.03,                    LST,0.3,0,0.02,0.08,0.03,                    AQI
20160105,0:00,0.02,                     ST,                     ST,                     ST,                    LST,                     ST,                    LST,0.22,                     ST,                     ST,0.11,                     ST,                    AQI
20160105,1:00,0.04,                     BL,                     BL,                     BL,                    LST,                     BL,                    LST,0.12,                     BL,                     BL,0.12,                     BL,                    AQI
20160105,2:00,                     ST,0.03,0.03,0.07,                    LST,0,                    LST,0.13,0.07,0.06,0.12,0.03,                     ST
20160105,3:00,                     BL,0.03,0.03,0.15,                    LST,0.04,                    LST,0.12,0.04,0.04,0.07,0.02,                     BL
20160105,4:00,0.03,0.03,0.02,0.08,                    LST,0.07,                    LST,0.08,0.08,0.08,0.15,0.02,0.08
20160105,5:00,0.04,0.03,0.03,0.17,                    LST,0.13,                    LST,0.08,0.11,0.06,0.15,0.03,0.12
20160105,6:00,0.07,0.06,0.05,0.06,                    LST,0.1,                    LST,0.12,0.09,0.07,0.14,0.03,0.13
20160105,7:00,0.05,0.04,0.06,0.12,                    LST,0.09,                    LST,0.09,0.17,0.1,0.15,0.04,0.15
20160105,8:00,0.05,0.07,0.09,0.19,                    LST,0.05,                    LST,0.06,0.11,0.08,0.11,0.05,0.17
20160105,9:00,0.05,0.05,0.06,0.15,                    LST,0.04,                    LST,0.28,0.43,0.12,0.11,0.05,0.12
20160105,10:00,0.03,0.15,0.06,0.11,                    LST,0,                    LST,0.09,0.08,                    AQI,0.1,0.04,0.14
20160105,11:00,0.03,0.04,0.06,0.03,                    LST,0.03,                    LST,0.1,0.12,                    AQI,0.18,0.04,0.17
20160105,12:00,0.02,0.04,0.06,0.04,                    LST,0,                    LST,0.08,0.07,0.02,0.16,0.03,0.06
20160105,13:00,0.02,                     BL,0.03,0.04,                    LST,0,                    LST,0.08,0.06,0.02,0.1,0.03,0.03
20160105,14:00,0.15,0.05,0.03,0.04,                    LST,0,                    LST,0.09,0,0.02,0.11,0.02,0.06
20160105,15:00,0.04,0.06,0.02,0.02,                    LST,0,                    LST,0.36,0.19,0.02,0.09,0.02,0.07
20160105,16:00,0.02,0.09,0.07,0.01,                    LST,0,                    LST,0.11,0.09,0.03,0.12,0.03,0.06
20160105,17:00,0.02,0.04,0.1,0.06,                    LST,0,                    LST,0.15,0.07,0.04,5.34,0.04,0.08
20160105,18:00,0.06,0.03,0.05,0.14,                    LST,0,                    LST,0.13,0.19,0.04,4.81,0.08,0.08
20160105,19:00,0.02,0.04,0.06,0.15,                    LST,0,                    LST,0.1,0.16,0.04,0.09,0.06,0.07
20160105,20:00,0.06,0.06,0.06,0.07,                    LST,0,                    LST,                     ST,0.13,0.08,0.43,0.05,0.09
20160105,21:00,0.05,0.04,0.06,0.1,                    LST,0.03,                    LST,                     BL,0.13,0.14,0.1,0.04,0.16
20160105,22:00,0.09,0.06,0.25,0.02,                    LST,0.02,                    LST,0.36,0.17,0.13,                     ST,0.05,0.21
20160105,23:00,0.07,0.08,0.13,0.04,                    LST,0.03,                    LST,0.18,0.21,0.07,                     BL,0.1,0.1
20160106,0:00,                     ST,0.08,0.22,0.04,                    LST,0.07,                    LST,0.17,                    LST,0.04,0.15,0.08,0.08
20160106,1:00,                     BL,0.15,0.47,0.06,                    LST,0.03,                    LST,0.14,                    LST,0.06,0.18,0.17,0.08
20160106,2:00,0.34,                     ST,0.36,                     ST,                    LST,                     ST,                    LST,                     ST,                    LST,                     ST,0.37,                     ST,0.24
20160106,3:00,0.27,                     BL,                     BL,                     BL,                    LST,                     BL,                    LST,                     BL,                    LST,                     BL,0.3,                     BL,0.38
20160106,4:00,0.16,0.13,0.19,0.04,                    LST,0,                    LST,0.44,                    LST,0.15,0.29,0.21,0.27
20160106,5:00,0.2,0.13,0.38,0.05,                    LST,0,                    LST,0.3,                    LST,0.15,0.32,0.16,0.33
20160106,6:00,0.27,0.11,0.28,0.04,                    LST,0.01,                    LST,0.39,                    LST,0.14,0.35,0.18,0.33
20160106,7:00,0.29,0.09,0.21,0.05,                    LST,0.02,                    LST,0.45,                    LST,0.1,0.46,                    AQI,0.71
20160106,8:00,0.19,0.13,0.29,0.03,                    LST,0.02,                    LST,0.37,                    LST,0.1,0.43,0.19,0.57
20160106,9:00,0.21,0.18,0.28,0.04,                    LST,0.03,                    LST,0.48,                    LST,                     IQ,                     IQ,0.21,0.58
20160106,10:00,0.35,0.13,0.25,0.05,                    LST,0.04,                    LST,0.35,                    LST,0.11,0.35,0.21,0.4
20160106,11:00,0.27,0.14,0.18,0.06,                    LST,0.02,                    LST,0.34,                    LST,0.09,0.28,0.18,0.38
20160106,12:00,0.48,                     ST,                     ST,0.04,                    LST,0,                    LST,0.58,                    LST,0.09,0.42,0.18,0.31
20160106,13:00,0.75,                     BL,                     BL,0.02,                    LST,0,                    LST,0.72,                     XX,0.1,0.29,0.23,0.25
20160106,14:00,0.14,0.1,0.1,0.01,                    LST,0,                    LST,0.25,                    AQI,0.04,0.21,0.09,0.22
20160106,15:00,0.21,0.07,0.06,0.01,                    LST,0,                    LST,0.45,                    AQI,0.03,0.16,0.07,0.08
20160106,16:00,0.6,0.04,0.18,0.02,                    LST,0,                    LST,0.88,                    AQI,0.02,0.13,0.06,0.06
20160106,17:00,0.3,0.04,0.1,0.02,                    LST,0,                    LST,0.42,                    AQI,0.03,0.1,0.06,0.05
20160106,18:00,0.05,0.03,0.03,0,                    LST,0,                    LST,0.52,                    AQI,0.02,0.09,0.03,0.05
20160106,19:00,0.02,0.02,0,0,                    LST,0,                    LST,0.09,                    AQI,0,0.37,0.03,0.02
20160106,20:00,0.04,0.02,0.01,0,                    LST,0.02,                    LST,0.07,                    AQI,0,4.23,0.09,                     ST
20160106,21:00,0.05,0.01,0.02,0,                    LST,0,                    LST,0.04,                    AQI,0,                     ST,0.03,                     BL
20160106,22:00,0.06,0,0,0.04,                    LST,0,                    LST,0.07,                    AQI,0.02,                     BL,0.03,0.02
20160106,23:00,0.03,0,                    AQI,0.03,                    LST,0,                    LST,0.08,                    AQI,0,0.5,0.02,0.03
20160107,0:00,0.02,                     ST,                     ST,                     ST,                    LST,                     ST,                    LST,0.13,                     ST,                     ST,2.21,                     ST,0.03
20160107,1:00,0.05,                     BL,                     BL,                     BL,                    LST,                     BL,                    LST,0.1,                     BL,                     BL,0.1,                     BL,0.03
20160107,2:00,                     ST,0.06,0.07,0.02,                    LST,0,                    LST,                     ST,0.12,0.03,                     ST,0.05,0.1
20160107,3:00,                     BL,0.14,0.03,0.02,                    LST,0,                    LST,                     BL,0.14,0.12,                     BL,0.14,0.22
20160107,4:00,0.17,0.04,0.11,0,                    LST,0,                    LST,0.36,0.29,0.09,0.4,0.04,0.59
20160107,5:00,0.21,0.07,0.07,0.03,                    LST,0.04,                    LST,0.35,0.35,0.11,0.19,0.09,0.71
20160107,6:00,0.21,0.06,0.07,0.05,                    LST,0,                    LST,0.3,0.17,0.18,0.25,0.11,0.47
20160107,7:00,0.38,0.05,0.03,0.07,                    LST,0,                    LST,0.2,0.16,0.41,0.2,0.21,1.08
20160107,8:00,0.17,0.05,0.04,0.02,                    LST,0,                    LST,1.13,1.03,                    LST,0.65,0.05,0.84
20160107,9:00,0.07,0.08,0.03,0.02,                    LST,0,                    LST,0.41,0.36,                    AQI,0.51,0.06,0.47
20160107,10:00,0.12,0.07,0.04,0,                    LST,0.02,                    LST,0.24,0.26,0.03,0.34,0.06,0.16
20160107,11:00,0.13,0.03,                     ST,0,                    LST,0,                    LST,0.2,0.46,0.04,0.11,0.06,0.11
20160107,12:00,0.07,0.03,                     BL,0.02,                    LST,0,                    LST,0.24,0.82,0.02,0.04,0.23,0.02
20160107,13:00,0.04,0.02,0.04,0,                    LST,0,                    LST,0.09,0.12,0.01,0.06,0.02,0.05
20160107,14:00,0.04,0.02,0.03,0,                    LST,0,                    LST,0.66,0.07,0,0.03,0.27,0.02
20160107,15:00,0.03,0.03,0.02,0.02,                    LST,0,                    LST,0.22,0,0.01,0,0.26,0.05
20160107,16:00,0.04,0.04,0.03,0,                    LST,0.01,                    LST,0.11,0,0,0.73,0.23,0.03
20160107,17:00,0.12,0.08,0.05,0.06,                    LST,0,                    LST,0.14,0.12,0.05,1.37,0.06,0.03
