    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_27,Site_28, Site_A, Site_H, Site_K, Site_R, Site_V
20100101,0:00,              LST,               ST,               ST,0.43,               ST,               ST,               ST,0.28,               ST,0.28,0.29,               ST
20100101,1:00,              LST,               BL,               BL,0.29,               BL,               BL,               BL,0.29,               BL,               ST,0.27,               BL
20100101,2:00,              LST,0.21,0.14,               ST,0.18,0.22,              AQI,               ST,0.24,               BL,               ST,0.21
20100101,3:00,              LST,0.21,0.15,               BL,0.16,0.18,              AQI,               BL,0.17,0.16,               BL,0.17
20100101,4:00,              LST,0.19,0.12,0.24,0.13,0.16,              AQI,0.15,0.14,0.14,0.16,0.14
20100101,5:00,              LST,0.16,0.1,0.17,0.13,0.13,              AQI,0.13,0.19,0.17,0.43,0.14
20100101,6:00,              LST,0.13,0.08,0.12,0.12,0.15,              AQI,0.11,0.14,0.15,0.21,0.1
20100101,7:00,              LST,0.12,0.1,0.1,0.12,0.13,              AQI,0.13,0.1,0.12,0.11,0.11
20100101,8:00,              LST,0.14,0.08,0.11,0.12,0.09,              AQI,0.13,0.08,0.15,0.12,0.14
20100101,9:00,              LST,0.29,0.09,0.08,0.11,0.19,              AQI,0.14,0.15,0.13,0.14,0.13
20100101,10:00,              LST,0.36,0.1,0.1,0.1,0.16,              AQI,0.14,0.2,0.13,0.14,0.15
20100101,11:00,              LST,0.83,0.11,0.11,0.11,0.19,              AQI,0.15,0.78,0.14,0.14,0.16
20100101,12:00,              LST,1.05,0.09,0.11,0.1,0.23,              AQI,0.14,0.39,0.14,0.16,0.17
20100101,13:00,              LST,0.53,0.1,0.09,0.12,0.24,              AQI,0.14,0.44,0.18,0.26,0.23
20100101,14:00,              LST,0.45,0.1,0.15,0.13,0.15,              AQI,0.13,0.29,0.18,0.21,0.16
20100101,15:00,              LST,0.35,0.11,0.11,0.15,0.17,              AQI,0.14,0.53,0.18,0.22,0.14
20100101,16:00,              LST,0.22,0.11,0.13,0.2,0.14,              AQI,0.17,0.29,0.17,0.26,0.31
20100101,17:00,              LST,0.29,0.15,0.22,0.21,0.14,              AQI,0.22,0.36,0.28,0.3,0.33
20100101,18:00,              LST,0.86,0.15,0.17,0.22,0.15,              AQI,0.82,0.26,0.32,0.3,0.6
20100101,19:00,              LST,1.32,0.17,0.26,0.23,0.24,              AQI,0.81,0.41,0.32,0.2,0.63
20100101,20:00,              LST,0.46,0.23,0.36,0.19,0.36,              AQI,1,0.46,0.35,0.23,0.68
20100101,21:00,              LST,               CS,               CS,               CS,               CS,               CS,               CS,0.67,1.03,0.36,0.32,0.56
20100101,22:00,              LST,               IQ,               IQ,               IQ,               IQ,               IQ,               IQ,0.77,0.97,0.62,0.43,0.69
20100101,23:00,              LST,0.41,0.29,0.32,0.17,2.21,              AQI,0.68,1,0.49,0.57,0.78
20100102,0:00,              LST,0.22,0.3,               ST,0.17,2.81,              AQI,               ST,2.29,0.79,               ST,0.76
20100102,1:00,              LST,0.23,1.06,               BL,0.21,0.95,              AQI,               BL,1.27,0.49,               BL,0.83
20100102,2:00,              LST,               ST,               ST,0.14,               ST,               ST,               ST,0.55,               ST,               ST,0.26,               ST
20100102,3:00,              LST,               BL,               BL,0.14,               BL,               BL,               BL,0.54,               BL,               BL,0.31,               BL
20100102,4:00,              LST,0.28,0.39,0.21,0.43,0.46,              AQI,0.49,0.18,1.74,0.32,1.48
20100102,5:00,              LST,0.35,0.94,0.2,0.41,0.59,              AQI,0.52,0.37,0.69,0.38,1.56
20100102,6:00,              LST,0.27,0.59,0.17,0.43,0.55,              AQI,0.46,0.27,0.89,0.46,1.83
20100102,7:00,              LST,0.34,0.48,0.13,0.44,1.36,              AQI,0.53,0.63,0.86,0.5,1.75
20100102,8:00,              LST,0.36,0.61,0.08,0.39,0.38,              AQI,0.63,0.29,1.28,0.43,0.57
20100102,9:00,              LST,0.5,0.41,0.18,0.24,0.24,              AQI,1.06,0.25,1.29,0.42,0.28
20100102,10:00,              LST,1.26,0.27,0.11,0.13,0.13,              AQI,1.39,0.14,0.23,0.43,0.21
20100102,11:00,              LST,0.55,0.15,0.08,0.09,0.1,              AQI,0.34,0.19,0.18,0.28,0.16
20100102,12:00,              LST,0.22,0.17,0.06,0.07,0.07,              AQI,0.28,0.13,0.21,0.4,0.28
20100102,13:00,              LST,0.18,0.15,0.07,0.07,0.08,              AQI,0.23,0.08,0.2,0.5,0.24
20100102,14:00,              LST,0.19,0.14,0.02,0.08,0.04,              AQI,0.2,0.06,0.24,0.28,0.18
20100102,15:00,              LST,0.1,0.12,0.05,0.07,0.07,              AQI,0.21,0.02,0.17,0.27,0.15
20100102,16:00,              LST,0.09,0.11,0.05,0.1,0.07,              AQI,0.27,0.05,0.15,0.24,0.16
20100102,17:00,              LST,0.08,0.15,0.09,0.11,0.08,              AQI,0.37,0.13,0.15,0.6,0.12
20100102,18:00,              LST,0.08,0.19,0.12,0.15,0.02,              AQI,0.29,0.22,0.16,0.44,0.23
20100102,19:00,              LST,0.09,0.22,0.14,0.18,0.18,              AQI,0.34,0.28,0.19,0.4,0.24
20100102,20:00,              LST,0.14,0.23,0.14,0.19,0.29,              AQI,0.26,0.28,0.25,0.31,0.34
20100102,21:00,              LST,0.23,0.19,0.13,0.2,0.29,              AQI,               CS,               CS,               CS,               CS,               CS
20100102,22:00,              LST,0.15,0.13,0.09,0.18,0.18,              AQI,               IQ,               IQ,               IQ,               IQ,               IQ
20100102,23:00,              LST,0.18,0.1,0.08,0.14,0.17,              AQI,0.44,0.16,0.19,0.24,0.23
20100103,0:00,              LST,               ST,               ST,               ST,               ST,               ST,               ST,0.53,               ST,0.28,0.18,               ST
20100103,1:00,              LST,               ST,               ST,               ST,               ST,               ST,               ST,1.19,               ST,               ST,0.19,               ST
20100103,2:00,              LST,               BL,               BL,               BL,               BL,               BL,               BL,              LST,               BL,               ST,               ST,               BL
20100103,3:00,              LST,0.16,0.2,0.07,0.11,0.09,              AQI,              LST,0.16,               BL,               ST,0.18
20100103,4:00,              LST,0.2,0.21,0.18,0.12,0.12,              AQI,              LST,0.14,0.84,               BL,0.54
20100103,5:00,              LST,0.26,0.35,0.13,0.1,0.21,              AQI,              LST,0.18,1.32,0.46,1.15
20100103,6:00,              LST,0.38,0.35,0.15,0.11,0.14,              AQI,              LST,0.18,0.72,0.99,1.11
20100103,7:00,              LST,0.33,0.29,0.19,0.17,0.15,              AQI,              LST,0.22,0.7,0.6,1.05
20100103,8:00,              LST,0.36,0.31,0.19,0.32,0.22,              AQI,              LST,0.28,1.4,0.67,0.99
20100103,9:00,              LST,0.28,0.26,0.19,0.27,0.25,              AQI,              LST,0.32,0.7,0.38,0.77
20100103,10:00,              LST,0.29,0.35,0.19,0.19,0.23,              AQI,              LST,0.23,1.62,0.37,0.69
20100103,11:00,              LST,0.32,0.31,0.2,0.22,0.26,              AQI,              LST,0.22,0.81,0.44,0.33
20100103,12:00,              LST,0.27,0.25,0.21,0.27,0.28,              AQI,              LST,0.23,1.01,0.46,0.36
20100103,13:00,              LST,0.29,0.29,0.18,0.22,0.23,              AQI,              LST,0.35,0.83,0.41,0.93
20100103,14:00,              LST,0.29,0.26,0.17,0.24,0.2,              AQI,              LST,0.22,0.99,0.38,1.06
