    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_28, Site_A, Site_H, Site_K, Site_R, Site_V
20140101,0:00,               ST,               ST,               ST,0.31,               ST,               ST,               ST,0.35,0.35,0.69,0.42
20140101,1:00,               BL,               BL,               BL,0.21,               BL,               BL,               BL,0.3,               ST,0.41,               ST
20140101,2:00,1.01,0.18,0.33,               ST,0.33,0.39,0.51,               ST,               BL,               ST,               BL
20140101,3:00,0.84,0.28,0.28,               BL,0.32,0.39,0.76,               BL,0.3,               BL,0.31
20140101,4:00,1.2,0.31,0.24,0.19,0.43,0.42,1.12,0.26,0.34,0.49,0.37
20140101,5:00,0.95,0.41,0.42,0.23,0.43,0.41,0.74,0.26,0.37,0.42,0.39
20140101,6:00,0.6,0.5,0.27,0.22,0.44,0.4,0.92,0.34,0.67,0.63,0.6
20140101,7:00,0.6,0.5,0.33,0.32,0.58,0.37,0.77,0.46,0.97,0.49,1
20140101,8:00,0.65,0.38,0.38,0.31,0.62,0.36,0.52,0.46,1.06,0.33,1.1
20140101,9:00,0.98,0.4,0.37,0.25,0.44,0.37,0.94,0.36,0.92,0.59,0.85
20140101,10:00,2.88,0.6,0.32,0.28,0.4,0.29,1.21,0.29,0.34,1.54,0.3
20140101,11:00,2.54,0.22,0.27,0.22,0.38,0.28,0.38,1.07,0.26,0.48,0.25
20140101,12:00,0.48,0.13,0.17,0.23,0.27,0.27,0.19,0.2,0.19,1.1,0.21
20140101,13:00,0.3,0.11,0.15,0.22,0.09,0.22,0.25,0.23,0.2,1.12,0.22
20140101,14:00,0.39,0.23,0.13,0.26,0.13,0.19,0.25,0.26,0.26,0.6,0.26
20140101,15:00,0.51,0.14,0.15,0.2,0.15,0.15,0.3,0.42,0.25,0.34,0.24
20140101,16:00,0.79,0.17,0.21,0.27,0.11,0.21,0.33,0.29,0.26,0.29,0.23
20140101,17:00,0.8,0.17,0.23,0.26,0.2,0.28,0.18,0.28,0.19,0.38,0.18
20140101,18:00,0.39,0.16,0.22,0.19,0.16,0.35,0.29,0.28,0.27,0.35,0.32
20140101,19:00,1.11,0.14,0.23,0.14,0.13,0.26,0.39,1.02,0.34,0.28,0.33
20140101,20:00,1.26,0.19,0.19,0.18,0.11,0.2,1.29,0.23,0.29,0.22,0.29
20140101,21:00,0.84,0.13,0.17,0.16,0.1,0.22,1.64,0.36,0.23,0.36,0.25
20140101,22:00,0.88,0.14,0.19,0.15,0.08,0.2,0.33,0.42,0.27,0.79,0.27
20140101,23:00,0.39,0.23,0.17,0.16,0.06,0.15,0.36,0.26,0.28,1,0.34
20140102,0:00,0.79,0.82,0.21,               ST,0.07,0.13,0.28,               ST,0.3,               ST,0.36
20140102,1:00,0.57,1.89,0.36,               BL,0.22,0.12,0.27,               BL,0.37,               BL,0.33
20140102,2:00,               ST,               ST,               ST,0.22,               ST,               ST,               ST,0.32,0.24,0.38,0.22
20140102,3:00,               BL,               BL,               BL,0.18,               BL,               BL,               BL,0.42,0.24,0.29,0.21
20140102,4:00,0.22,0.22,0.21,0.18,0.21,0.21,0.19,0.26,0.21,0.2,0.22
20140102,5:00,0.2,0.21,0.18,0.22,0.17,0.18,0.18,0.25,0.22,0.17,0.2
20140102,6:00,0.21,0.21,0.2,0.22,0.17,0.23,0.16,0.28,0.21,0.16,0.2
20140102,7:00,0.2,0.17,0.17,0.35,0.16,0.14,0.15,0.31,0.17,0.16,0.19
20140102,8:00,0.17,0.21,0.13,0.14,0.13,0.16,0.15,0.25,0.2,0.14,0.2
20140102,9:00,               XX,0.15,0.13,0.19,0.14,0.13,0.15,0.21,               IQ,0.13,0.16
20140102,10:00,               XX,0.11,0.12,0.13,0.13,0.13,0.13,0.31,0.16,0.13,0.14
20140102,11:00,               XX,0.08,0.09,0.1,0.13,0.13,0.13,0.4,0.19,0.13,0.16
20140102,12:00,               XX,0.1,0.11,0.13,0.11,0.12,0.13,0.17,0.17,0.1,0.15
20140102,13:00,0.14,0.11,0.09,0.17,0.11,0.13,0.13,0.18,0.15,0.18,0.16
20140102,14:00,0.15,0.13,0.11,0.11,0.1,0.13,0.12,0.14,0.15,0.11,0.14
20140102,15:00,0.15,0.11,0.07,0.13,0.1,0.12,0.12,0.18,0.16,0.1,0.18
20140102,16:00,0.15,0.14,0.1,0.1,0.09,0.13,0.14,0.17,0.17,0.11,0.17
20140102,17:00,0.2,0.13,0.12,0.09,0.1,0.13,0.16,0.17,0.22,0.09,0.19
20140102,18:00,0.19,0.1,0.16,0.1,0.12,0.12,0.22,0.35,0.23,0.14,0.23
20140102,19:00,0.23,0.28,0.19,0.1,0.12,0.13,0.17,0.39,0.2,0.15,0.21
20140102,20:00,0.23,0.37,0.16,0.12,0.12,0.14,0.16,0.3,0.2,0.22,0.2
20140102,21:00,0.31,0.12,0.15,0.15,0.15,0.15,0.18,0.37,               ST,0.2,0.18
20140102,22:00,0.23,0.03,0.16,0.14,0.16,0.15,0.19,0.3,               BL,0.18,               ST
20140102,23:00,0.2,0.13,0.17,0.14,0.17,0.16,0.17,0.37,0.2,0.17,               BL
20140103,0:00,               ST,               ST,0.15,0.17,               ST,0.17,               ST,0.5,0.19,0.21,0.2
20140103,1:00,               BL,               BL,               BL,0.12,               BL,               BL,               BL,0.29,0.17,0.33,0.23
20140103,2:00,0.2,0.05,0.14,               ST,0.33,0.16,0.18,               ST,               ST,               ST,0.22
20140103,3:00,0.19,0.14,0.14,               BL,0.27,0.16,0.17,               BL,               BL,               BL,0.18
20140103,4:00,0.2,0.14,0.17,0.14,0.18,0.16,0.16,1.68,0.23,0.21,0.72
20140103,5:00,0.23,0.29,0.16,0.12,0.19,0.17,0.2,0.38,0.27,0.98,0.35
20140103,6:00,0.32,0.18,0.17,0.15,0.22,0.16,0.18,0.23,0.38,1.36,0.27
20140103,7:00,0.32,0.19,0.22,0.16,0.2,0.16,0.31,0.35,1.52,0.39,0.57
20140103,8:00,0.28,0.25,0.26,0.16,0.23,0.22,0.3,0.31,1.86,0.36,0.53
20140103,9:00,0.29,0.87,0.23,0.2,0.2,              LST,0.32,0.22,1.72,0.24,0.92
20140103,10:00,0.69,0.18,0.19,0.21,0.19,0.21,1.16,0.2,0.79,0.28,0.19
20140103,11:00,1.21,0.29,0.19,0.17,0.13,               ST,0.9,0.19,0.19,0.52,0.21
20140103,12:00,1.27,0.26,0.12,0.1,0.12,               BL,0.55,0.22,0.18,0.49,0.2
20140103,13:00,1.09,0.14,0.15,0.12,0.13,0.18,0.33,0.2,0.22,0.36,0.32
20140103,14:00,0.76,0.14,0.17,0.13,0.09,0.15,0.27,0.34,0.32,0.85,0.18
20140103,15:00,0.36,0.15,0.19,0.08,0.07,0.16,0.34,0.29,0.16,0.41,0.16
