    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_28,Site_29,Site_72,Site_A,Site_H,Site_K,Site_R,Site_V
20160101,0:00,0.25,               ST,               ST,               ST,               ST,               ST,              LST,0.2,               ST,               ST,0.18,               ST,0.27
20160101,1:00,0.22,               BL,               BL,               BL,               BL,               BL,              LST,               ST,               BL,               BL,               ST,               BL,               ST
20160101,2:00,               ST,0.24,0.17,0.15,0.33,0.21,              LST,               BL,0.17,1.21,               BL,0.5,               BL
20160101,3:00,               BL,0.2,0.18,0.15,0.27,0.19,              LST,0.22,0.19,0.83,0.23,0.33,0.27
20160101,4:00,0.24,0.19,0.2,0.15,0.31,0.2,              LST,0.21,0.22,0.35,0.2,0.22,0.27
20160101,5:00,0.19,0.16,0.2,0.12,0.3,0.22,              LST,0.18,0.16,0.17,0.16,0.19,0.2
20160101,6:00,0.17,0.14,0.18,0.17,0.24,0.19,              LST,0.16,0.14,0.17,0.14,0.17,0.16
20160101,7:00,0.16,0.14,0.17,0.13,0.23,0.17,              LST,0.17,0.14,0.15,0.14,0.19,0.16
20160101,8:00,0.17,0.14,0.19,0.14,0.16,0.15,              LST,0.18,0.15,0.17,0.14,0.17,0.18
20160101,9:00,0.17,0.14,0.17,0.11,0.15,0.19,              LST,0.15,0.15,0.18,0.15,0.18,0.17
20160101,10:00,0.18,0.14,0.15,0.15,0.17,0.18,              LST,0.18,0.14,0.32,0.19,0.19,0.2
20160101,11:00,0.17,0.16,0.14,0.14,0.19,0.19,              LST,0.17,0.16,0.43,0.16,0.21,0.18
20160101,12:00,0.18,0.14,0.15,0.14,0.18,0.19,              LST,0.17,0.15,0.17,0.16,0.19,0.19
20160101,13:00,0.19,0.13,0.18,0.15,0.16,0.19,              LST,0.19,0.15,0.18,0.16,0.17,0.19
20160101,14:00,0.2,0.13,0.16,0.09,0.15,0.22,              LST,0.18,0.16,0.16,0.17,0.17,0.21
20160101,15:00,0.21,0.13,0.15,0.17,0.16,0.18,              LST,0.17,0.14,0.15,0.17,0.15,0.18
20160101,16:00,0.25,0.13,0.17,0.12,0.16,0.17,              LST,0.18,0.16,0.22,0.17,0.2,0.2
20160101,17:00,0.3,0.14,0.16,0.15,0.15,0.19,              LST,0.2,0.18,0.31,0.19,0.21,0.23
20160101,18:00,0.28,0.2,0.2,0.19,0.16,0.2,              LST,0.2,0.2,0.28,0.2,0.32,0.26
20160101,19:00,0.26,0.18,0.24,0.19,0.17,0.19,              LST,0.21,0.23,0.25,0.2,0.26,0.26
20160101,20:00,0.25,0.17,0.2,0.2,0.18,0.17,              LST,0.23,0.19,0.24,0.19,0.31,0.23
